Score,Excluded_Outliers,Condition
988.9823,No,Predicted Low 2
989.0804,No,Predicted Low 2
915.4741,No,Predicted Low 2
995.232,No,Predicted High
640.229,Yes,Predicted High
761.4981,Yes,Predicted High
995.244,No,Predicted High
976.8129,No,Predicted High
999.3187,No,Predicted High
500,Yes,Predicted High
999.3368,No,Predicted Low 1
998.0574,No,Predicted Low 1
1000,No,Predicted Low 1
976.9354,No,Predicted Low 1
999.4199,No,Predicted High
1000,No,Predicted High
995.1666,No,Predicted High
995.1958,No,Predicted High
998.0872,No,Predicted Low 2
915.5534,No,Predicted Low 2
1000,No,Predicted Low 2
998.1142,No,Predicted Low 2
976.8976,No,Predicted Low 1
995.4482,No,Predicted Low 1
995.1869,No,Predicted Low 1
998.2346,No,Predicted Low 1
999.6603,No,Predicted Low 1
761.2102,Yes,Predicted Low 1
977.868,No,Predicted Low 2
999.4199,No,Predicted Low 2
999.9928,No,Predicted Low 2
996.4887,No,Predicted Low 2
999.3537,No,Predicted Low 2
958.4045,No,Predicted Low 2
999.3637,No,Predicted Low 1
762.753,Yes,Predicted Low 1
955.0138,No,Predicted Low 1
976.8665,No,Predicted Low 1
1000,No,Predicted Low 1
999.7967,No,Predicted High
998.0998,No,Predicted High
999.8078,No,Predicted High
999.7945,No,Predicted High
976.7792,No,Predicted Low 2
915.5934,No,Predicted Low 2
999.3385,No,Predicted Low 2
640.3292,Yes,Predicted Low 2
640.3292,Yes,Predicted Low 2
977.2646,No,Predicted Low 2
788.3966,Yes,Predicted Low 2
999.3477,No,Predicted Low 2
999.7967,No,Predicted Low 2
998.1177,No,Predicted Low 2
854.3375,Yes,Predicted High
954.6103,Yes,Predicted High
995.1996,No,Predicted Low 1
938.5488,No,Predicted Low 1
995.1869,No,Predicted Low 1
995.2892,No,Predicted Low 1
995.1442,No,Predicted Low 1
989.0659,No,Predicted High
996.7201,No,Predicted High
999.8089,No,Predicted High
923.6364,Yes,Predicted High
995.8543,No,Predicted High
976.9108,No,Predicted Low 2
976.9093,No,Predicted Low 2
954.323,No,Predicted Low 2
993.219,No,Predicted High
1000,No,Predicted High
989.0781,No,Predicted High
999.9931,No,Predicted High
989.0385,No,Predicted High
996.088,No,Predicted High
958.5728,No,Predicted High
989.4478,No,Predicted Low 1
976.8889,No,Predicted Low 1
915.89,No,Predicted Low 1
500,Yes,Predicted Low 1
915.9694,No,Predicted Low 1
999.344,No,Predicted Low 1
1000,No,Predicted Low 1
996.7818,No,Predicted Low 1
988.9315,No,Predicted Low 1
999.9534,No,Predicted Low 1
915.89,No,Predicted Low 1
999.8474,No,Predicted Low 1
770.1554,Yes,Predicted Low 1
954.382,No,Predicted Low 1
999.3542,No,Predicted Low 1
999.9534,No,Predicted Low 1
988.9333,No,Predicted High
976.8976,No,Predicted High
998.2346,No,Predicted Low 2
995.244,No,Predicted Low 2
916.7625,No,Predicted Low 2
999.8082,No,Predicted Low 2
